ID	Score
1EQQN5PYAY	21.5
1EQQN5PYAY	29.183
1KMPUN6HPB	26
1KMPUN6HPB	28.366
1U1G63H2U4	22.5
1U1G63H2U4	28.366
22DH2C15G3	24
22DH2C15G3	28.366
2BYWDWHK2N	24
2BYWDWHK2N	27.549
368G3P6RMU	18.5
368G3P6RMU	27.549
38XCFRWH21	27.5
38XCFRWH21	29.183
392UDMHF4P	27.549
392UDMHF4P	28
45764F3HGR	21.5
45764F3HGR	28.366
49FK7UMGB2	27
49FK7UMGB2	27.549
4YPUTZ4K2T	23
4YPUTZ4K2T	27.549
5SRY7VRXGC	28
5SRY7VRXGC	28.366
6PGYFZBM68	27.549
6PGYFZBM68	28
6XKUUZZZ4W	21.5
6XKUUZZZ4W	27.549
6Z1TP1NCY3	24
6Z1TP1NCY3	28.366
74K7RBQW8Y	21.5
74K7RBQW8Y	27.616
7MRWFV5QUP	24
7MRWFV5QUP	27.549
7PPKYGZC63	25.75
7PPKYGZC63	27.549
8BPYBFWTBR	26.5
8BPYBFWTBR	27.549
8CZ5XK6878	28.366
8CZ5XK6878	29
8GMKAFXRHA	23.25
8GMKAFXRHA	27.549
8QCESGQA8X	26.5
8QCESGQA8X	27.549
8SW7DVMQDT	27.5
8SW7DVMQDT	28.433
9UFHSQ4MAK	27
9UFHSQ4MAK	27.616
A7FN8GW86X	23.5
A7FN8GW86X	28.366
AHEACCUA4Z	25
AHEACCUA4Z	28.366
B6ZC1TUPS3	27
B6ZC1TUPS3	27.549
B9PD1RT4YN	26
B9PD1RT4YN	27.549
BV82U23NBP	25
BV82U23NBP	27.549
BXK52Y3ZMZ	18.75
BXK52Y3ZMZ	27.549
C87HYHQFT8	24.5
C87HYHQFT8	27.549
CFHABSEV25	23.5
CFHABSEV25	28.366
CR9YD1CN9Q	24
CR9YD1CN9Q	27.549
CV3CGHZDEZ	18.25
CV3CGHZDEZ	27.549
CW4H72MKK9	28
CW4H72MKK9	28.366
DKPZXU1VGM	25
DKPZXU1VGM	27.549
FSB32FEXF9	25.25
FSB32FEXF9	28.433
FZXPP32Z3S	28.366
FZXPP32Z3S	29
G11Y6EX53P	26.5
G11Y6EX53P	28.366
G8YRZC6BV1	25
G8YRZC6BV1	27.549
G92KFB694Y	22
G92KFB694Y	28.366
GNT98FU3EZ	27.616
GNT98FU3EZ	29.5
H3DT4CA9SN	18
H3DT4CA9SN	27.549
HT2NDYUUPN	23.5
HT2NDYUUPN	27.549
M1QBMKU554	24.25
M1QBMKU554	28.366
M9AX37SHX8	27.549
M9AX37SHX8	28.5
NFTQE8ZPVG	27
NFTQE8ZPVG	27.549
NQE4YE9HTV	22.5
NQE4YE9HTV	27.549
NQN5YC39VH	26
NQN5YC39VH	28.366
PG4RC23WWH	18
PG4RC23WWH	28.366
SV6QHUPW72	26
SV6QHUPW72	27.616
T76DV5433Y	23
T76DV5433Y	27.549
TP9U7EEKPB	25.5
TP9U7EEKPB	28.366
UXDC1BGRQZ	27.549
UXDC1BGRQZ	28
UYGRCFG8CS	25
UYGRCFG8CS	27.549
UZQRW5BZ4Y	26
UZQRW5BZ4Y	28.366
V2ECRAPKN2	28
V2ECRAPKN2	29.183
V2FC7Q9CRZ	22.75
V2FC7Q9CRZ	27.549
V2MZUS9HZP	25
V2MZUS9HZP	27.616
VURQ79R7TY	22.5
VURQ79R7TY	27.549
VW1836GA37	22.5
VW1836GA37	27.549
XC348AWH3S	25.5
XC348AWH3S	27.549
Y48RUHXXF7	26.5
Y48RUHXXF7	27.549
Y93BGAE5ZX	26
Y93BGAE5ZX	28.366
YEE48WB6QF	22.5
YEE48WB6QF	27.549
YHAUCR4X87	19.5
YHAUCR4X87	28.366
YTV2NHSPVM	22
YTV2NHSPVM	27.549
YY1FY9WG37	22
YY1FY9WG37	27.549
ZA71KN8ANQ	25
ZA71KN8ANQ	27.549
ZRHKH491G5	27.549
ZRHKH491G5	30

